"";"GSM3688814_p.15.06.2016_01_AS6.ga.cel";"GSM3688815_p.15.06.2016_02_AS2.ga.cel";"GSM3688816_p.15.06.2016_03_AS3.ga.cel";"GSM3688817_p.15.06.2016_04_AS5.ga.cel";"GSM3688818_p.15.06.2016_14_AS7.ga.cel";"GSM3688819_p.15.06.2016_05_S15.ga.cel";"GSM3688820_p.15.06.2016_07_S10.ga.cel";"GSM3688821_p.15.06.2016_09_S29.ga.cel";"P.Value";"adj.P.Val";"B"
"17053393";4,81544348421984;3,83633113845394;4,18632777121542;4,11208015194278;4,290756270195;5,22547501875564;5,0993133077712;3,98975359862819;0,3091625039306;0,573169322639802;-5,62913026853564
"17053535";4,78715876498602;4,50308758007469;4,88328616640245;4,83500926051498;5,56877400284551;4,61479422762143;4,95622355238315;4,83692930809856;0,471187537920186;0,695495843880869;-5,89817465571686
"17053638";8,36722669355779;7,98430879364883;8,03979490022665;7,9345192585009;7,58456138006626;8,57021767120858;9,0395026946033;7,61684971865057;0,132179356172722;0,427995679455129;-4,98716926576162
"17053651";7,13953702863208;6,02144706461142;7,61249463091963;7,55227410913773;6,56331775611306;6,76938488832063;6,77576977263451;6,98944996471434;0,816216153163498;0,910347921201825;-6,1415326149685
"17053654";7,37210260066946;7,15147020240964;6,79197949190012;7,14798937562867;6,39615603782222;8,13317484630768;9,04190191110881;6,58595375476821;0,0713091389028943;0,373147700451915;-4,47557851301273
"17053734";7,27541958109359;6,60559091972423;6,90854814753382;6,89461025219094;6,14814840874503;7,69788771008837;8,33095690625471;6,7878831037636;0,067430084124837;0,369709949752022;-4,4279974210877
"17053771";5,29590598756401;6,5626492983462;5,04709168699856;3,88873838357089;3,66769591121929;5,79055402343903;6,81798362756408;4,8485526893977;0,196715109960341;0,477589084207284;-5,29943026410621
"17053794";4,76278014867649;5,93420643697565;5,39894355068695;5,76992186007422;4,80301555432247;5,24161315847774;5,48803897786438;5,97407933461586;0,884879115936979;0,945320591196989;-6,15883780889321
"17053801";5,59032427488051;4,65466327576375;5,48471054095051;5,11599301713148;5,00813809803342;5,05218677704339;4,59794254284844;4,91708902511863;0,757599669286324;0,877705100397643;-6,11994429619691
"17053878";4,25161529732554;5,80634757272424;4,69116204192822;5,18618853865122;7,25299355890896;5,96925841673364;3,91272554753189;4,87331118195917;0,330060431393261;0,588409437413857;-5,67380787408424
"17053885";6,98384147175408;5,59272349592861;6,0282551458727;5,91709037822261;5,2987205946824;6,30396826144082;6,3798113322278;5,58813418637319;0,692998320926483;0,840198468160357;-6,08822352038772
"17053892";7,95942986436414;7,73518487247599;7,68106908566916;7,80114170551805;7,01074025886991;7,85586268919278;9,07663075753533;7,98105540457517;0,0296394096463103;0,321658480635506;-3,71235440771918
"17053906";5,10872214667058;5,07753590309387;4,38044999235116;4,76785418456987;4,3232389044368;4,93187071089375;4,63167310049493;5,35561620346758;0,0698099019683673;0,370972879747877;-4,45752298223677
